country,Country id,Date,CRISIS,CAB_Y,EXP_G,STED_R,FXR_G,REER,CRISIS_1
Singapore,3,1997Q4 [YR1997Q4],0,15.56977263,-0.169923474,249.9408896,-0.072422093,3.741601396,0
Singapore,3,1998Q1 [YR1998Q1],0,17.12521075,-0.240663483,0.287922275,-0.05202985,6.385088185,0
Singapore,3,1998Q2 [YR1998Q2],0,18.68064887,-0.251456354,165.327141,-0.121069387,3.474893256,0
Singapore,3,1998Q3 [YR1998Q3],0,20.23608699,-0.189698818,0.571795024,-0.064884734,-1.455888122,0
Singapore,3,1998Q4 [YR1998Q4],0,21.79152511,-0.094052348,146.2374857,0.051647426,-2.094133693,0
Singapore,3,1999Q1 [YR1999Q1],0,20.64472301,0.07942265,0.689024284,-0.039871801,-3.443337618,0
Singapore,3,1999Q2 [YR1999Q2],0,19.4979209,0.197011809,128.4066064,0.039962995,-1.780007933,0
Singapore,3,1999Q3 [YR1999Q3],0,18.3511188,0.234709043,1.243854247,0.054858343,-2.018375071,0
Singapore,3,1999Q4 [YR1999Q4],0,17.20431669,0.278609538,97.72588494,0.026238957,-1.306591677,1
Singapore,3,2000Q1 [YR2000Q1],0,15.67117272,0.238548151,106.9791246,0.041078458,-1.750260406,0
Singapore,3,2000Q2 [YR2000Q2],0,14.13802875,0.254294699,89.06175827,0.050863521,-1.054132994,0
Singapore,3,2000Q3 [YR2000Q3],0,12.60488478,0.152565071,83.21121894,0.017623227,1.372002786,0
Singapore,3,2000Q4 [YR2000Q4],0,11.07174081,0.038633633,80.26930006,0.037816993,3.491561465,0
Singapore,3,2001Q1 [YR2001Q1],0,11.91199186,-0.124199635,81.73396288,0.035834893,3.443756079,0
Singapore,3,2001Q2 [YR2001Q2],1,12.75224291,-0.204705091,74.74827067,-0.042749751,2.409764288,1
Singapore,3,2001Q3 [YR2001Q3],1,13.59249396,-0.232819685,84.72927154,-0.032828541,4.315447735,1
Singapore,3,2001Q4 [YR2001Q4],0,14.43274501,-0.129926088,84.02708097,-0.056196204,0.709072639,0
Singapore,3,2002Q1 [YR2002Q1],0,14.54384712,0.040135059,76.60533469,-0.022131117,1.681135684,0
Singapore,3,2002Q2 [YR2002Q2],0,14.65494923,0.071162997,64.62985793,0.078604098,1.269476675,0
Singapore,3,2002Q3 [YR2002Q3],0,14.76605135,0.106177212,69.00885285,0.069920244,0.86421211,0
Singapore,3,2002Q4 [YR2002Q4],0,14.87715346,0.114566267,63.82311202,0.086688363,1.050418435,0
Singapore,3,2003Q1 [YR2003Q1],0,17.23344496,0.059984086,69.70097177,0.102643453,-0.593526412,0
Singapore,3,2003Q2 [YR2003Q2],0,19.58973645,0.063528077,68.57186843,0.078241828,-2.028144389,0
Singapore,3,2003Q3 [YR2003Q3],0,21.94602795,0.140579937,64.81451767,0.129246764,-2.614386379,0
Singapore,3,2003Q4 [YR2003Q4],0,24.30231945,0.184146479,58.40967217,0.171007994,-3.66742941,0
Singapore,3,2004Q1 [YR2004Q1],0,23.05443995,0.231515321,60.65437858,0.227703269,-3.118190936,0
Singapore,3,2004Q2 [YR2004Q2],0,21.80656045,0.27346032,60.79090335,0.171377796,-2.965676441,0
Singapore,3,2004Q3 [YR2004Q3],0,20.55868096,0.211105967,64.23875976,0.126665107,-2.463689638,0
Singapore,3,2004Q4 [YR2004Q4],0,19.31080146,0.180521239,60.44198784,0.170080808,-4.195811556,0
Singapore,3,2005Q1 [YR2005Q1],0,20.2982309,0.175510709,65.2423578,0.099595196,-4.421291151,0
Singapore,3,2005Q2 [YR2005Q2],0,21.28566034,0.1458527,70.43363106,0.133477618,-4.821702283,0
Singapore,3,2005Q3 [YR2005Q3],0,22.27308979,0.173481232,72.89344615,0.124244526,-5.388446438,0
